City,State,year,month,homicide_type,count,UCR_Type
Baltimore,MD,2015,9,OTHER,1,
Baltimore,MD,2015,10,FIREARM,30,
Baltimore,MD,2015,10,KNIFE,1,
Baltimore,MD,2015,10,OTHER,2,
Baltimore,MD,2015,11,FIREARM,25,
Baltimore,MD,2015,11,KNIFE,2,
Baltimore,MD,2015,12,FIREARM,25,
Baltimore,MD,2015,12,KNIFE,6,
Baltimore,MD,2015,12,OTHER,2,
Baltimore,MD,2016,1,FIREARM,9,
Baltimore,MD,2016,1,KNIFE,2,
Baltimore,MD,2016,1,OTHER,3,
Baltimore,MD,2016,2,FIREARM,22,
Baltimore,MD,2016,2,KNIFE,2,
Baltimore,MD,2016,3,FIREARM,18,
Baltimore,MD,2016,4,FIREARM,27,
Baltimore,MD,2016,4,KNIFE,1,
Baltimore,MD,2016,5,FIREARM,22,
Baltimore,MD,2016,5,KNIFE,2,
Baltimore,MD,2016,5,OTHER,2,
Baltimore,MD,2016,6,FIREARM,26,
Baltimore,MD,2016,6,OTHER,1,
Baltimore,MD,2016,7,FIREARM,31,
Baltimore,MD,2016,7,KNIFE,3,
Baltimore,MD,2016,7,OTHER,2,
Baltimore,MD,2016,8,FIREARM,21,
Baltimore,MD,2016,8,KNIFE,2,
Baltimore,MD,2016,8,OTHER,4,
Baltimore,MD,2016,9,FIREARM,19,
Baltimore,MD,2016,9,KNIFE,4,
Baltimore,MD,2016,9,OTHER,7,
Baltimore,MD,2016,10,FIREARM,26,
Baltimore,MD,2016,10,KNIFE,3,
Baltimore,MD,2016,10,OTHER,1,
Baltimore,MD,2016,11,FIREARM,27,
Baltimore,MD,2016,11,OTHER,3,
Baltimore,MD,2016,12,FIREARM,24,
Baltimore,MD,2016,12,KNIFE,3,
Baltimore,MD,2016,12,OTHER,1,
Baltimore,MD,2017,1,FIREARM,29,
Baltimore,MD,2017,1,KNIFE,2,
Baltimore,MD,2017,1,OTHER,1,
Baltimore,MD,2017,2,FIREARM,19,
Baltimore,MD,2017,2,KNIFE,3,
Baltimore,MD,2017,3,FIREARM,18,
Baltimore,MD,2017,3,KNIFE,3,
Baltimore,MD,2017,3,OTHER,4,
Baltimore,MD,2017,4,FIREARM,27,
Baltimore,MD,2017,4,KNIFE,1,
Baltimore,MD,2017,4,OTHER,1,
Baltimore,MD,2017,5,FIREARM,35,
Baltimore,MD,2017,5,KNIFE,1,
Baltimore,MD,2017,5,OTHER,2,
Baltimore,MD,2017,6,FIREARM,21,
Baltimore,MD,2017,6,KNIFE,2,
Baltimore,MD,2017,6,OTHER,1,
Baltimore,MD,2017,7,FIREARM,28,
Baltimore,MD,2017,7,KNIFE,2,
Baltimore,MD,2017,7,OTHER,4,
Baltimore,MD,2017,8,FIREARM,12,
Baltimore,MD,2017,8,KNIFE,1,
